央视频道,#genre#
cctv1,http://111.196.135.75:8686/udp/239.3.1.129:8008
cctv10,http://114.243.110.0:4000/rtp/239.3.1.63:8116
cctv10,http://114.252.236.205:8000/rtp/239.3.1.63:8116
cctv10,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-10hd/2500.m3u8?innersid=9053765528789506188
cctv14,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-14hd/2500.m3u8?innersid=10749977474028640862
cctv15,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226333/1.m3u8?servicetype=1&accountinfo=%7E%7EV2.0%7EWyklhmFh7oMx-lG1tNUcSQ%7EPepnxHHB2d6Hk2dZWM77MyFlBN5q1KnYLvimM9pqT7Ggfx09IYQ0HOnjH2d6pZUp%7EExtInfo9bj61dxzlMXrsixrqcFYPg%3A20240420192557%2C%2C%2C20240420192557%2C%2C10001000275495%2C-1%2C0%2C1%2C-1%2C%2C2%2C2201300%2C%2C%2C2%2C%2C%2CEND&GuardEncType=2
cctv-15,http://221.233.192.152:1111/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
cctv11,http://111.196.129.152:20000/udp/239.3.1.152:8120
cctv11,http://114.252.236.205:8000/rtp/239.3.1.152:8120
cctv-10,http://117.144.58.42:35455/gaoma/cctv10.m3u8
CCTV14,http://148.135.93.213:81/live.php?id=CCTV14
cctv1,http://61.173.144.157:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://148.135.93.213:81/live.php?id=CCTV10
cctv13,http://183.66.15.146:60901/tsfile/live/0013_1.m3u8?key=txiptv
cctv11,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226334/1.m3u8?servicetype=1&accountinfo=%7E%7EV2.0%7E0RcQQbNseiHvFO8XWf466A%7EPepnxHHB2d6Hk2dZWM77MyFlBN5q1KnYLvimM9pqT7Fu7CeinMHJqra3zokMRz7n%7EExtInfo9bj61dxzlMXrsixrqcFYPg%3A20240420192552%2C%2C%2C20240420192552%2C%2C10001000275495%2C-1%2C0%2C1%2C-1%2C%2C2%2C2201300%2C%2C%2C2%2C%2C%2CEND&GuardEncType=2
cctv15,http://111.196.135.75:8686/udp/239.3.1.153:8136
CCTV13,http://148.135.93.213:81/live.php?id=CCTV13
CCTV1,http://148.135.93.213:81/live.php?id=CCTV1
cctv12,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-12hd/2500.m3u8?innersid=8190402369178717730
cctv11,http://nas.hssvm.com:8888/udp/225.1.1.22:5002
cctv13,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226316/1.m3u8?servicetype=1&accountinfo=%7E%7EV2.0%7EqHPe9pEEWJ00hz1ArnRZVA%7EPepnxHHB2d6Hk2dZWM77MyFlBN5q1KnYLvimM9pqT7FeVpwiXzm8Z1FT0IzXPiAe%7EExtInfo9bj61dxzlMXrsixrqcFYPg%3A20240420192554%2C%2C%2C20240420192554%2C%2C10001000275495%2C-1%2C0%2C1%2C-1%2C%2C2%2C2201300%2C%2C%2C2%2C%2C%2CEND&GuardEncType=2
cctv14,http://221.233.192.152:1111/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
cctv15,http://183.66.15.146:60901/tsfile/live/0015_1.m3u8?key=txiptv
cctv1,http://113.220.234.228:9999/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
cctv14,http://qjrhc.jydjd.top:2911/udp/224.1.100.80:11111
cctv10,http://123.138.22.30:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://148.135.93.213:81/live.php?id=CCTV11
cctv-15,http://www.douzhicloud.site:35455/gaoma/cctv15.m3u8
cctv13,http://120.234.5.29:6000/udp/239.21.0.88:3692
cctv-1,http://www.douzhicloud.site:35455/gaoma/cctv1.m3u8
CCTV10,https://stream1.freetv.fun/c204aa368ad71a02d82a4c38ec4aed8274d5e6fb605cf89b92b744b701031641.m3u8
cctv11,http://183.66.15.146:60901/tsfile/live/0011_1.m3u8?key=txiptv
CCTV12,https://stream1.freetv.fun/8cdd176a06cbe4d209928a7de611ebf863cdc7857d116b3efaf8284b7b93977c.m3u8
cctv10,http://183.66.15.146:60901/tsfile/live/0010_1.m3u8?key=txiptv
CCTV13,https://stream1.freetv.fun/74f4294d741c39834300c655a0ac349f2700bfc45ea342f606214ea5d7a9d63c.m3u8
cctv15,http://124.128.73.58:9901/tsfile/live/0015_1.m3u8?key=txiptv
cctv11,http://120.234.5.29:6000/udp/239.21.0.35:3480
CCTV14,https://stream1.freetv.fun/9464d9316b694b16079afcdf56c5088fffdb0df6370b95375beb5fec3f218f7b.ctv
cctv12,http://114.252.236.205:8000/rtp/239.3.1.64:8124
cctv11,http://124.128.73.58:9901/tsfile/live/0011_1.m3u8?key=txiptv
cctv15,http://124.128.73.58:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
cctv15,http://120.234.5.29:6000/udp/239.21.0.36:3484
cctv12,http://219.128.121.202:59901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV12,https://stream1.freetv.fun/7d1924f100185fbfebb34717fda900cf561388f6482dceffdec1966adfd57d7e.m3u8
cctv11,http://218.241.192.50:8808/rtp/239.3.1.152:8120
cctv12,http://183.66.15.146:60901/tsfile/live/0012_1.m3u8?key=txiptv
cctv-11,http://221.233.192.152:1111/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,https://stream1.freetv.fun/06c0848a6f95f5986d43a4d5f7f747e3ea6400f3c056d2350e4c0b27988dcf78.m3u8
cctv10,http://www.douzhicloud.site:35455/gaoma/cctv10.m3u8
CCTV12,http://148.135.93.213:81/live.php?id=CCTV12
cctv-11,http://www.douzhicloud.site:35455/gaoma/cctv11.m3u8
cctv1,http://123.113.187.204:8000/udp/239.3.1.129:8008
cctv11,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_3.m3u8
CCTV12,https://stream1.freetv.fun/87253b3afaea039178ade58ec1a91b1e62964839905c18240f5e1ee7bb8c7e20.m3u8
CCTV1,https://stream1.freetv.fun/c490527dc498d8d3400d82c9b0004018b948626a6d7e37c2cbda06abbbd17f3f.m3u8
CCTV10,https://stream1.freetv.fun/1102ee77a2897e42421ecc079e37f3cef428c0b722a2e1bc2738ec8717332435.ctv
CCTV15,http://148.135.93.213:81/live.php?id=CCTV15
CCTV1,https://stream1.freetv.fun/2ff3a31517df8664653423b4c32105f2be4eb8f5805010cf4c784c452c9ba641.m3u8
CCTV14,https://stream1.freetv.fun/5d7dfa5ebfe90c78b537cdc5dd77be50a3ed19ffe163aa50de5f4d79dd2ab3db.m3u8
CCTV10,https://stream1.freetv.fun/2adeeb7314094648f9d29a464bf03b555855a3c4f290bd1ad970b9af6506fce9.m3u8
cctv10,http://124.128.73.58:9901/tsfile/live/0010_1.m3u8?key=txiptv
cctv1,http://183.66.15.146:60901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV11,https://stream1.freetv.fun/37b1c14c3378e510bd07d553a1abcca238f13e040b5b0419b3ece2c9d4f50efd.m3u8
CCTV10,https://stream1.freetv.fun/0ea747e2b910912d7b767737051b09d3af710dd38a7ec89f24090e34e3e4f08a.m3u8
cctv12,http://111.196.129.152:20000/udp/239.3.1.64:8124
cctv1,http://114.252.236.205:8000/rtp/239.3.1.129:8008
cctv-12,http://221.233.192.152:1111/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
cctv15,http://221.2.148.205:8154/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
cctv15,http://123.113.187.204:8000/udp/239.3.1.153:8136
cctv14,http://221.219.79.161:4000/udp/239.3.1.65:8132
CCTV11,https://stream1.freetv.fun/b295e709dd85615bdf34e8da41eb11931d04f54e06fe15c04652d69725f20095.ctv
cctv14,http://124.128.73.58:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
cctv10,http://124.128.73.58:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
cctv12,http://124.128.73.58:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
cctv15,http://wab201.win:35455/gaoma/cctv15.m3u8
CCTV13,https://stream1.freetv.fun/284baba270fb9fc28783da91424e53d762266f4c35440b9458f8000bafdda618.m3u8
CCTV1,https://stream1.freetv.fun/607c5648b5a826285f1e94ceab76066c767e2ba5e1623b753a6ab2f4e380199d.m3u8
CCTV15,https://stream1.freetv.fun/15e51c168d37c7ad9fefc926fd97d95acb42b1d61d80f05b58514b725089a9e3.m3u8
CCTV15,https://stream1.freetv.fun/317af8bb7a917c0aaa5fff739a3e23add8d6716f9a0c6ab235bb1431cbd0f2af.m3u8
CCTV15,https://stream1.freetv.fun/409bdf1e83ced37ad86108df4798cec0286376e4b8065d4ac68565d95a7ed498.m3u8
CCTV15,https://stream1.freetv.fun/534a5dadcb442d7203e015924ff89c9f43a1e1715ef63652842020ac26244a9a.m3u8
CCTV15,https://stream1.freetv.fun/5b8a14cda3a1fdf7209572b549b34b43fcf497b261ae7b688c4db45d44b1573c.m3u8
CCTV15,https://stream1.freetv.fun/ba41afeb2715156d503ae2a1166012dec7e28c1be0ae9f6bf8a726c1cc66f3bf.m3u8
CCTV15,https://stream1.freetv.fun/c28b19dc44c936240e3c92d5de30f134d25a696c1050c95f9fa70058af7992f4.m3u8
cctv16,http://111.196.135.75:8686/udp/239.3.1.184:8001
cctv-16,http://117.144.58.42:35455/gaoma/cctv16.m3u8
cctv16,http://majian.ixiaobai.net:5540/udp/239.37.1.22:5540
cctv16,http://majian.ixiaobai.net:5540/udp/239.37.1.22:5540?
CCTV16,http://www.douzhicloud.site:35455/gaoma/cctv16.m3u8
CCTV16,https://stream1.freetv.fun/1ea61de6b6dd169b62ac0da089d9aa7409dc381dc7770a46885870dbe2d70c77.m3u8
CCTV16,https://stream1.freetv.fun/1efb3b3242cec8c7865bd2a0b573ed5afb6985dcd408f266521caa1129ebb33f.m3u8
CCTV16,https://stream1.freetv.fun/2ed90371e0a6472f6228cfcde8f8a2837d55f161e7a8660d960bfd22c452dd43.ctv
